Date,Open,High,Low,Close,Adj Close,Volume
2008-06-25,5.074999809265137,5.112500190734863,4.945000171661377,5.025000095367432,4.609661102294922,90097600
2003-06-18,2.025000095367432,2.1641669273376465,2.0083329677581787,2.123332977294922,1.947829246520996,112207200
2017-01-17,25.75,25.799999237060547,25.14249992370605,25.27750015258789,24.9143009185791,58061200
2002-08-09,0.7641670107841492,0.7916669845581055,0.7508329749107361,0.7666670083999634,0.7032983303070068,58130400
1999-07-02,0.3828130066394806,0.4049479961395263,0.375,0.4049479961395263,0.3714770376682281,22488000
1999-06-04,0.3554689884185791,0.3567709922790527,0.3528650104999542,0.3554689884185791,0.3260878622531891,7891200
2008-04-23,4.942500114440918,5.164999961853027,4.877500057220459,5.110000133514404,4.687634468078613,102049600
2010-07-15,2.759999990463257,2.762500047683716,2.6475000381469727,2.680000066757202,2.4584856033325195,95308800
2014-09-25,4.724999904632568,4.737500190734863,4.617499828338623,4.627500057220459,4.425149917602539,29844000
2021-04-08,142.52749633789062,144.71499633789062,142.49000549316406,143.1699981689453,142.89732360839844,24441600
2002-11-26,1.3641669750213623,1.390833020210266,1.3166669607162476,1.3208329677581787,1.211659550666809,108433200
2006-12-15,6.181666851043701,6.25,6.143332958221436,6.25,5.733407497406006,74609400
2008-03-07,4.869999885559082,5.079999923706055,4.75,4.887499809265137,4.483524322509766,76750000
2002-05-09,2.990833044052124,3.052500009536743,2.8666670322418213,2.87166690826416,2.634310007095337,123084000
2018-02-09,59.5625,59.72249984741211,54.380001068115234,58.02000045776367,57.40913772583008,167460400
2014-02-26,4.675000190734863,4.744999885559082,4.662499904632568,4.677499771118164,4.432845115661621,36088400
2006-10-05,5.159999847412109,5.211667060852051,5.019999980926514,5.033332824707031,4.617304801940918,66268200
2005-03-21,2.0133330821990967,2.0883328914642334,2.000833034515381,2.0833330154418945,1.91113543510437,65445600
2022-07-12,152.67999267578125,154.30999755859375,148.77000427246094,150.82000732421875,150.66978454589844,45848300
2013-09-13,3.9375,3.9674999713897705,3.910000085830689,3.950000047683716,3.706498384475708,15969600
2009-08-19,3.282500028610229,3.315000057220459,3.25,3.2950000762939453,3.0226521492004395,55299600
2005-08-01,2.2683329582214355,2.2991669178009038,2.25333309173584,2.2891669273376465,2.0999557971954346,38904000
2006-12-07,6.091667175292969,6.125,5.891666889190674,5.945000171661377,5.45361852645874,48689400
2009-05-11,2.275000095367432,2.414999961853028,2.255000114440918,2.3575000762939453,2.162642478942871,103859600
2018-10-08,66.625,67.79000091552734,65.0199966430664,66.44249725341797,65.86051940917969,40861200
2003-04-16,1.1433329582214355,1.1458330154418943,1.1083329916000366,1.1174999475479126,1.0251331329345703,67198800
2019-04-16,46.56999969482422,47.24250030517578,46.2400016784668,47.0525016784668,46.735145568847656,39496400
2000-05-18,2.3151040077209477,2.352864980697632,2.131510019302368,2.1458330154418945,1.9684702157974243,50990400
2008-01-29,6.272500038146973,6.377500057220459,6.110000133514404,6.352499961853027,5.8274359703063965,41448400
2002-09-10,0.7666670083999634,0.9208329916000366,0.7658330202102661,0.8808330297470093,0.8080281019210815,231763200
2004-01-27,1.9600000381469729,1.9916670322418213,1.8708330392837524,1.8858330249786377,1.7299597263336182,93410400
2010-11-18,3.2725000381469727,3.362499952316284,3.2725000381469727,3.3299999237060547,3.054759979248047,99312000
2003-08-14,1.351667046546936,1.3716670274734497,1.3350000381469729,1.350000023841858,1.2384159564971924,152769600
2011-03-18,4.534999847412109,4.550000190734863,4.400000095367432,4.40500020980835,4.040904998779297,88696000
1999-09-30,0.4166670143604278,0.4296880066394806,0.3958329856395721,0.4010420143604278,0.3678939342498779,34252800
